module,module_title,block_number,block_type,block_title,learner_action,platform_signal
1,"What AI Is, How It Works, and Why It Matters",1,Orient,Why AI mental models and grounded expectations matters,Read a short framing note and identify personal relevance,entry_engagement
1,"What AI Is, How It Works, and Why It Matters",2,Teach,Core concepts for AI mental models and grounded expectations,Study the explanation and examples,concept_exposure
1,"What AI Is, How It Works, and Why It Matters",3,Demonstrate,Weak vs stronger example,Compare examples and identify the improvement,comparison_accuracy
1,"What AI Is, How It Works, and Why It Matters",4,Guided practice,Try with support,Complete a small practice task with hints,practice_attempt
1,"What AI Is, How It Works, and Why It Matters",5,Independent lab,Produce the module artifact,Create a reviewable artifact tied to real context,artifact_submitted
1,"What AI Is, How It Works, and Why It Matters",6,Check,Quiz and self-review,Pass checkpoint and complete reflection,module_mastery
2,"AI Myths, Reality, and Responsible Judgment",1,Orient,"Why myth correction, risk sense, and responsible use matters",Read a short framing note and identify personal relevance,entry_engagement
2,"AI Myths, Reality, and Responsible Judgment",2,Teach,"Core concepts for myth correction, risk sense, and responsible use",Study the explanation and examples,concept_exposure
2,"AI Myths, Reality, and Responsible Judgment",3,Demonstrate,Weak vs stronger example,Compare examples and identify the improvement,comparison_accuracy
2,"AI Myths, Reality, and Responsible Judgment",4,Guided practice,Try with support,Complete a small practice task with hints,practice_attempt
2,"AI Myths, Reality, and Responsible Judgment",5,Independent lab,Produce the module artifact,Create a reviewable artifact tied to real context,artifact_submitted
2,"AI Myths, Reality, and Responsible Judgment",6,Check,Quiz and self-review,Pass checkpoint and complete reflection,module_mastery
3,Prompts as Control - How Better Instructions Shape Better AI Results,1,Orient,"Why prompt intent, constraints, and output control matters",Read a short framing note and identify personal relevance,entry_engagement
3,Prompts as Control - How Better Instructions Shape Better AI Results,2,Teach,"Core concepts for prompt intent, constraints, and output control",Study the explanation and examples,concept_exposure
3,Prompts as Control - How Better Instructions Shape Better AI Results,3,Demonstrate,Weak vs stronger example,Compare examples and identify the improvement,comparison_accuracy
3,Prompts as Control - How Better Instructions Shape Better AI Results,4,Guided practice,Try with support,Complete a small practice task with hints,practice_attempt
3,Prompts as Control - How Better Instructions Shape Better AI Results,5,Independent lab,Produce the module artifact,Create a reviewable artifact tied to real context,artifact_submitted
