module,module_title,question_id,question,option_a,option_b,option_c,option_d,correct_answer,answer_explanation,skill_signal
1,"What AI Is, How It Works, and Why It Matters",M01-Q01,Which behavior best shows strong understanding of AI mental models and grounded expectations?,Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to AI mental models and grounded expectations",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying AI mental models and grounded expectations.",judgment
1,"What AI Is, How It Works, and Why It Matters",M01-Q02,A learner is completing Module 1. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
1,"What AI Is, How It Works, and Why It Matters",M01-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
1,"What AI Is, How It Works, and Why It Matters",M01-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer AI mental models and grounded expectations into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
1,"What AI Is, How It Works, and Why It Matters",M01-Q05,What should happen after a learner fails the Module 1 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
1,"What AI Is, How It Works, and Why It Matters",M01-Q06,Which answer best reflects Jifunze's certificate standard for Module 1?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
1,"What AI Is, How It Works, and Why It Matters",M01-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
1,"What AI Is, How It Works, and Why It Matters",M01-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying AI mental models and grounded expectations, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
2,"AI Myths, Reality, and Responsible Judgment",M02-Q01,"Which behavior best shows strong understanding of myth correction, risk sense, and responsible use?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to myth correction, risk sense, and responsible use",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying myth correction, risk sense, and responsible use.",judgment
2,"AI Myths, Reality, and Responsible Judgment",M02-Q02,A learner is completing Module 2. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
2,"AI Myths, Reality, and Responsible Judgment",M02-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
2,"AI Myths, Reality, and Responsible Judgment",M02-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer myth correction, risk sense, and responsible use into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
